,index,question,answer,keywords
64,64,"My child is under 5 years old. Should they wear a mask?
","In general, children aged 5 years and under do not need to wear masks. However, there may be times when caregivers will choose to put a mask on a child – for example, if the child has contact with a person who is at a high risk of developing severe disease or is around someone who is ill. Children of this age should not wear masks for a long duration or without supervision. 
","['without', 'diseas', 'year', 'aadhaar', 'mask', 'ill', 'develop', 'supervis', 'sever', 'risk', 'may', 'child', 'person', 'durat', 'put', 'age', 'howev', 'caregiv', 'wear', 'time', 'old', 'choos', 'contact', 'around', 'gener', 'high', 'long', 'need', 'someon', 'exampl']"
65,65,"My child has disabilities. Should they wear a mask?
","Children with cognitive or respiratory impairments, developmental disorders, disabilities or other specific health conditions who experience difficulties wearing a mask should not be required to do so.
The individual decision for a child to wear a mask should be discussed in consultation with the child's medical provider where possible.
A safe environment should be created for children who are not able to tolerate a mask, including requirements for caregivers, teachers or other adults interacting with the child to wear a mask and to be vaccinated against COVID-19 according to national vaccination policies
","['specif', 'mask', 'impair', 'difficulti', 'accord', 'consult', 'adult', 'disabl', 'child', 'caregiv', 'discus', 'polici', 'wear', 'decis', 'disord', 'teacher', 'development', 'condit', 'abl', 'individu', 'experi', 'vaccin', 'nation', 'creat', 'interact', 'toler', 'cognit', 'respiratori', 'requir', 'environ']"
66,66,"My child has a medical condition that compromises their immune system. Should they wear a mask?
","The use of a medical mask is recommended for children with a higher risk of severe complications from COVID-19. This includes children with underlying noncommunicable diseases such as diabetes, cardiac disease, chronic lung disease, chronic kidney disease, immunosuppression, HIV, obesity, mental disorders and cancer.
","['diseas', 'mental', 'mask', 'cardiac', 'immun', 'sever', 'immunosuppress', 'risk', 'cancer', 'kidney', 'child', 'underli', 'noncommunic', 'obes', 'complic', 'medic', 'lung', 'hiv', 'wear', 'diabet', 'disord', 'covid', 'condit', 'use', 'includ', 'compromis', 'system', 'chronic', 'higher', 'recommend']"
67,67,"What type of mask should my child wear?
","Children should wear a well-fitted mask that covers the nose, mouth and chin.
There are three types of masks that WHO recommends for the public: 
reusable non-medical masks that comply with standards
disposable medical masks 
Other types of reusable non-medical masks, including homemade multi-layered (fabric) masks are acceptable when other options are not available.
","['fit', 'aadhaar', 'mask', 'compli', 'reusabl', 'type', 'nose', 'avail', 'dispos', 'abattoir', 'aarogya', 'child', 'chin', 'standard', 'medic', 'wear', 'public', 'recommend', 'fabric', 'cover', 'mouth', 'includ', 'non', 'layer', 'three', 'homemad', 'option', 'accept', 'well', 'multi']"
68,68,"How should children wear a mask?
","Adults and children should follow the same principles for safe mask wearing. Some children may not be able to properly wear a mask without help or supervision. Parents or caregivers who help children with masks should be prepared to talk about mask safety and help children understand how to wear masks properly. If you are helping a child to put on or take off a mask, be sure to follow the same steps when you put on and take off your own mask.Children should be encouraged to clean their hands before putting on their mask and after taking it off and to wear a well-fitted mask that covers the nose, mouth and chin. It is important to not share masks with others.
","['without', 'fit', 'mask', 'help', 'principl', 'prepar', 'take', 'nose', 'supervis', 'talk', 'clean', 'adult', 'understand', 'child', 'chin', 'put', 'sure', 'caregiv', 'safeti', 'wear', 'cover', 'properli', 'share', 'mouth', 'encourag', 'abl', 'safe', 'step', 'parent', 'follow']"
69,69,"Should my child wear a mask at home?
","Your child’s health is a priority, and there may be times when wearing a mask at home is the safest thing to do.
If you have visitors, outdoor gatherings are safer than indoor gatherings. If visitors come into your home, it may be best for everyone to wear a mask if ventilation is poor or if physical distance of at least 1 meter cannot be maintained.
Children who have symptoms of COVID-19 should wear a medical mask at home when they are in shared spaces, as long as they can tolerate it. Family members/caregivers who come within 1 meter of the sick child at home should also wear a medical mask.
","['within', 'mask', 'home', 'ventil', 'indoor', 'cannot', 'sick', 'best', 'come', 'may', 'outdoor', 'child', 'safer', 'maintain', 'gather', 'medic', 'famili', 'caregiv', 'member', 'space', 'wear', 'thing', 'meter', 'prioriti', 'poor', 'share', 'everyon', 'safest', 'toler', 'visitor']"
70,70,"Should teachers or other adults interacting with children wear a mask?
","In areas where SARS-CoV-2 is spreading, adults under the age of 60 interacting with children should wear a well-fitted mask that covers the nose and mouth when they are:
in indoor settings where ventilation is known to be poor or cannot be assessed, or the ventilation system is not properly maintained, regardless of whether or not physical distancing of at least 1 meter can be maintained; or
in indoor settings that have adequate ventilation if physical distancing of at least 1 meter cannot be maintained.
Adults aged 60 or over, or who have any underlying health conditions, such as heart disease, diabetes or cancer, should wear a medical mask due to their higher risk of getting seriously ill from COVID-19.
","['fit', 'mask', 'physic', 'ventil', 'nose', 'indoor', 'cannot', 'serious', 'adequ', 'adult', 'cancer', 'child', 'maintain', 'underli', 'age', 'regardless', 'wear', 'distanc', 'due', 'diabet', 'teacher', 'meter', 'poor', 'heart', 'properli', 'least', 'cover', 'mouth', 'interact', 'set']"
71,71,"Should children wear a mask when playing sports or doing physical activities?
","Children do not need to wear a mask when playing sports or doing physical activities, such as running, jumping or playing, as it may affect their breathing. When organizing sporting activities for children, it is important to encourage all other public health measures:
Choose outside venues over indoor ones.
If gatherings must be held indoors, open windows to ensure good ventilation.
Maintain at least a 1-meter distance from others and limit the number of children playing together.
Provide access to hand hygiene facilities and encourage children to use them. 
","['affect', 'mask', 'breath', 'physic', 'access', 'indoor', 'activ', 'play', 'good', 'child', 'maintain', 'open', 'gather', 'run', 'venu', 'hygien', 'wear', 'organ', 'held', 'choos', 'meter', 'outsid', 'encourag', 'window', 'limit', 'must', 'sport', 'jump', 'facil', 'togeth']"
72,72,"Are there alternatives to fabric masks such as face shields?
","In the context of COVID-19, some children may not be able to wear a mask due to disabilities or specific situations such as speech classes where the teacher needs to see their mouths. In these cases, face shields may be considered an alternative to masks, but they do not provide the equivalent protection in keeping the virus from being transmitted to others.
If a decision is made to use a face shield, it should cover the entire face, wrap around the sides of the face and extend to below the chin. Caution should be taken while wearing one to avoid injuries that could break it and harm the eyes or face. 
","['mask', 'extend', 'injuri', 'equival', 'see', 'wrap', 'class', 'may', 'caution', 'disabl', 'situat', 'context', 'chin', 'eye', 'transmit', 'made', 'wear', 'decis', 'side', 'teacher', 'fabric', 'shield', 'cover', 'abl', 'face', 'speech', 'break', 'altern', 'entir', 'harm']"
73,73,"What areas should be prioritized for disinfection in non-health care settings?
","Disinfection practices are important to reduce the potential for COVID-19 virus contamination in non-healthcare settings, such as in the home, office, schools, gyms, publicly accessible buildings, faith-based community centers, markets, transportation and business settings or restaurants. High-touch surfaces in these non-health care settings should be identified for priority disinfection such as door and window handles, kitchen and food preparation areas, counter tops, bathroom surfaces, toilets and taps, touchscreen personal devices, personal computer keyboards, and work surfaces.
","['tap', 'transport', 'surfac', 'build', 'faith', 'toilet', 'publicli', 'care', 'counter', 'door', 'kitchen', 'area', 'comput', 'bathroom', 'person', 'gym', 'touchscreen', 'busi', 'devic', 'market', 'disinfect', 'contamin', 'offic', 'non', 'set', 'restaur', 'keyboard', 'handl', 'top', 'priorit']"
74,74,"Which surface disinfectants are effective against COVID-19 in non-health care setting environments?
","In non-health care settings, sodium hypochlorite (bleach / chlorine) may be used at a recommended concentration of 0.1% or 1,000ppm (1 part of 5% strength household bleach to 49 parts of water). Alcohol at 70-90% can also be used for surface disinfection. Surfaces must be cleaned with water and soap or a detergent first to remove dirt, followed by disinfection.  Cleaning should always start from the least soiled (cleanest) area to the most soiled (dirtiest) area in order to not spread the dirt to areas that are less soiled.
All disinfectant solutions should be stored in opaque containers, in a well-ventilated, covered area that is not exposed to direct sunlight and ideally should be freshly prepared every day.
In indoor spaces, routine application of disinfectants to surfaces via spraying is not recommended for COVID-19. If disinfectants are to be applied, these should be via a cloth or wipe which is soaked in the disinfectant. 
","['via', 'surfac', 'chlorin', 'cleanest', 'care', 'dirtiest', 'clean', 'bleach', 'wipe', 'area', 'deterg', 'spray', 'hypochlorit', 'soak', 'sodium', 'water', 'disinfect', 'recommend', 'ideal', 'dirt', 'part', 'sunlight', 'non', 'strength', 'set', 'ppm', 'soil', 'opaqu', 'freshli', 'solut']"
75,75,"What protection measures should people take when using disinfectants?
","It is important to reduce your risk when using disinfectants:
The disinfectant and its concentration should be carefully selected to avoid damaging surfaces and to avoid or minimize toxic effects on household members (or users of public spaces).
Avoid combining disinfectants, such as bleach and ammonia, since mixtures can cause respiratory irritation and release potentially fatal gasses.
Keep children, pets and other people away during the application of the product until it is dry and there is no odor.
Open windows and use fans to ventilate. Step away from odors if they become too strong. Disinfectant solutions should always be prepared in well-ventilated areas.
Wash your hands after using any disinfectant, including surface wipes.
Keep lids tightly closed when not in use. Spills and accidents are more likely to happen when containers are open.
Do not allow children to use disinfectant wipes. Keep cleaning fluids and disinfectants out of the reach of children and pets.
Throw away disposable items like gloves and masks if they are used during cleaning. Do not clean and re-use.
Do not use disinfectant wipes to clean hands or as baby wipes.
The minimum recommended personal protective equipment when disinfecting in non-health care settings is rubber gloves, waterproof aprons and closed shoes. Eye protection and medical masks may also be needed to protect against chemicals in use or if there is a risk of splashing.
Note: Where cleaning and disinfection are not possible on a regular basis due to resource limitations, frequent hand washing and avoiding touching the face should be the primary prevention approaches to reduce any potential transmission associated with surface contamination.
","['mixtur', 'surfac', 'hand', 'potenti', 'spill', 'ammonia', 'close', 'apron', 'ventil', 'clean', 'odor', 'bleach', 'protect', 'wipe', 'child', 'rubber', 'open', 'gas', 'disinfect', 'splash', 'wash', 'tightli', 'waterproof', 'keep', 'avoid', 'use', 'glove', 'away', 'accid', 'pet']"
76,76,"What is the guidance for the disinfection of outdoor spaces such as open markets and roads?
","In outdoor spaces, large-scale spraying or fumigation in areas such as streets or open market places for the COVID-19 virus or other pathogens is not recommended. Streets and sidewalks are not considered as routes of infection for COVID-19. Spraying disinfectants, even outdoors, can be noxious for people’s health and cause eye, respiratory or skin irritation or damage.
This practice will be ineffective since the presence of dirt or rubbish for example, inactivates the disinfectant, and manual cleaning to physically remove all matter is not feasible. This is even less effective on porous surfaces such as sidewalks and unpaved walkways. Even in the absence of dirt or rubbish, it is unlikely that chemical spraying would adequately cover surfaces allowing the required contact time to inactivate pathogens. 
","['unlik', 'even', 'feasibl', 'surfac', 'walkway', 'inactiv', 'manual', 'fumig', 'road', 'matter', 'rubbish', 'chemic', 'outdoor', 'sidewalk', 'open', 'rout', 'space', 'market', 'ineffect', 'unpav', 'disinfect', 'street', 'damag', 'dirt', 'irrit', 'porou', 'pathogen', 'spray', 'noxiou', 'absenc']"
77,77,"Are public systems for disinfecting individuals such as spraying via tunnels or chambers safe to use?
","No. Spraying of individuals with disinfectants (such as in a tunnel, cabinet, or chamber) is not recommended under any circumstances. This practice could be physically and psychologically harmful and would not reduce an infected person’s ability to spread the virus through droplets or contact. Even if someone who is infected with COVID-19 goes through a disinfection tunnel or chamber, as soon as they start speaking, coughing or sneezing they can still spread the virus. 
The toxic effect of spraying with chemicals such as chlorine on individuals can lead to eye and skin irritation, bronchospasm due to inhalation, and potentially gastrointestinal effects such as nausea and vomiting. In addition to health safety concerns, the use of chlorine in large-scale spraying practices may prevent this resource from being used for important interventions such as drinking water treatment and environmental disinfection of health care facilities.
","['via', 'cabinet', 'droplet', 'chlorin', 'drink', 'speak', 'skin', 'chemic', 'tunnel', 'spread', 'circumst', 'harm', 'chamber', 'goe', 'psycholog', 'vomit', 'inhal', 'disinfect', 'toxic', 'scale', 'bronchospasm', 'use', 'practic', 'irrit', 'individu', 'effect', 'gastrointestin', 'nausea', 'spray', 'intervent']"
78,78,"What are the recommended practices once back home after outdoor activities?
","Thorough hand hygiene: washing hands with soap and water or using alcohol-based hand gel, should be performed before touching surfaces, items, pets, and people within the household environment. While outside, people should always follow physical distancing measures, staying at least one meter from another person; perform hand hygiene by washing hands frequently with soap and water or using alcohol-based hand rub; follow good respiratory hygiene by covering your mouth and nose with your bent elbow or tissue when coughing or sneezing; avoid touching your eyes, nose and mouth; and avoid crowded places.
","['back', 'crowd', 'gel', 'hand', 'nose', 'outdoor', 'eye', 'rub', 'touch', 'pet', 'water', 'hygien', 'elbow', 'soap', 'base', 'item', 'thorough', 'perform', 'wash', 'alway', 'outsid', 'avoid', 'mouth', 'use', 'household', 'tissu', 'alcohol', 'follow', 'bent', 'environ']"
79,79,"Are gloves recommended for the community in public spaces to protect against COVID-19, for example when going to the grocery store supermarket?
","No. The use of gloves by the public in public spaces is not a recommended or proven prevention measure. Wearing gloves in public spaces does not replace the need for hand hygiene, nor does it offer any additional measure of protection against the COVID-19 virus than hand hygiene. Gloves do not provide complete protection against hand contamination, as pathogens may gain access to the hands via small defects in gloves or by contamination of the hands during glove removal. People can also transfer pathogens from one surface to another by touching with gloved hands, or even transfer pathogens to the mouth, nose, or eyes if they touch their face with gloved hands. 
","['via', 'surfac', 'hand', 'small', 'remov', 'gain', 'transfer', 'nose', 'protect', 'eye', 'replac', 'touch', 'offer', 'space', 'hygien', 'groceri', 'complet', 'public', 'contamin', 'defect', 'mouth', 'glove', 'pathogen', 'face', 'store', 'proven', 'measur', 'recommend', 'exampl', 'supermarket']"
80,80,"How should I clean food items from the grocery store, for example fruit, vegetables or packaged items?
","There is no evidence to date of viruses that cause respiratory illnesses being transmitted via food or food packaging. Coronaviruses cannot multiply in food; they need an animal or human host to multiply.
The COVID-19 virus is generally thought to be spread from person to person through respiratory droplets. Currently, there is no evidence to support transmission of the COVID-19 virus associated with food.
Before preparing or eating food it is important to always wash your hands with soap and water for at least 40-60 seconds. Regular food safety and handling guidance should be followed.
 
","['via', 'regular', 'droplet', 'host', 'prepar', 'second', 'thought', 'virus', 'evid', 'human', 'veget', 'person', 'transmit', 'eat', 'water', 'groceri', 'soap', 'item', 'coronavirus', 'alway', 'anim', 'viru', 'store', 'food', 'multipli', 'handl', 'packag', 'date', 'respiratori', 'fruit']"
81,81,"Do weather and climate determine where COVID-19 occurs?
","No. There is currently no conclusive evidence that either weather (short term variations in meteorological conditions) or climate (long-term averages) have a strong influence on transmission. The SARS-CoV-2 virus which causes COVID-19 disease has been transmitted in all regions of the world, from cold and dry, to hot and humid climates.
SARS-CoV-2 is thought to be mainly transmitted directly from person-to-person through close contact, or through respiratory droplets produced when an infected person coughs or sneezes. People may be infected by touching exposed surfaces, but this is not thought to be a major transmission route. While temperature and humidity may influence how long the virus survives outside of the human body, this effect is likely to be small compared to the degree of contact between people.
Physical distancing and washing hands are therefore essential to breaking the chain of transmission, and are the most effective way to protect yourself, in all locations and all seasons of the year.
 
","['cov', 'sar', 'mainli', 'humid', 'degre', 'surviv', 'averag', 'thought', 'transmiss', 'chain', 'dri', 'person', 'transmit', 'rout', 'weather', 'conclus', 'term', 'strong', 'climat', 'hot', 'contact', 'season', 'meteorolog', 'locat', 'effect', 'directli', 'long', 'break', 'variat', 'influenc']"
82,82,Will climate change make COVID-19 worse?," 
There is no evidence of a direct connection between climate change and the emergence or transmission of COVID-19 disease. As the disease is now well established in the human population, efforts should focus on reducing transmission and treating patients.
However, climate change may indirectly affect the COVID-19 response, as it undermines environmental determinants of health, and places additional stress on health systems. More generally, most emerging infectious diseases, and almost all recent pandemics, originate in wildlife, and there is evidence that increasing human pressure on the natural environment may drive disease emergence. Strengthening health systems, improved surveillance of infectious disease in wildlife, livestock and humans, and greater protection of biodiversity and the natural environment, should reduce the risks of future outbreaks of other new diseases.
 
","['infecti', 'diseas', 'chang', 'wors', 'connect', 'drive', 'effort', 'reduc', 'greater', 'indirectli', 'transmiss', 'strengthen', 'emerg', 'human', 'evid', 'almost', 'undermin', 'livestock', 'stress', 'health', 'futur', 'climat', 'environment', 'system', 'focu', 'natur', 'surveil', 'wildlif', 'biodivers', 'environ']"
83,83,"Have measures to contain COVID-19 reduced air pollution and emissions of greenhouse gasses?
","Air pollution is a serious health risk. It kills approximately 7 million people every year and is responsible for one third of all deaths from stroke, lung cancer and heart disease. Over 90% of the global population lives in places where the WHO outdoor air quality guideline levels are not met, and about two-thirds of this exposure is caused by burning of fossil fuels, which also drives climate change.
Efforts to control COVID-19 transmission have reduced economic activity and led to temporary improvements in air quality in some areas. In contrast, as carbon dioxide and other greenhouse gasses that drive climate change persist for a long time in the atmosphere, temporary emissions reductions only have a limited effect on atmospheric concentrations. Carbon dioxide levels at observing stations around the world in the first months of 2020 have been higher than in 2019.
Environmental improvements resulting from the COVID-19 response may be reversed by a rapid expansion of polluting economic activities once the measures have ended, unless there is a clear focus to promote equity, environmental health, around a just transition to a green economy.
Any short-term environmental benefits as a result of COVID-19 come at an unacceptable human and economic cost, and are no substitute for planned and sustained action on air quality and climate.
","['pollut', 'unaccept', 'chang', 'drive', 'temporari', 'emiss', 'revers', 'dioxid', 'result', 'activ', 'qualiti', 'air', 'carbon', 'green', 'level', 'econom', 'greenhous', 'contrast', 'transit', 'burn', 'gas', 'atmospher', 'climat', 'environment', 'improv', 'around', 'fossil', 'expans', 'third', 'respons']"
84,84,"How does water scarcity affect infectious diseases like COVID-19?
","Access to adequate and safe water and sanitation is essential for communities to practice basic hygiene and reduce transmission of COVID-19. Access to these services in health facilities is crucial to preventing infections, reducing the spread of antimicrobial resistance and providing quality care.
One in four health care facilities around the world lacks basic water services, directly impacting over two billion people. Around 80% of the world’s population is already experiencing some level of water scarcity. Climate change further threatens the availability of water for consumption, food production, personal hygiene, and medical care, including for infectious disease.
","['infecti', 'product', 'diseas', 'access', 'reduc', 'care', 'threaten', 'experienc', 'basic', 'adequ', 'crucial', 'world', 'qualiti', 'water', 'hygien', 'lack', 'antimicrobi', 'alreadi', 'health', 'four', 'climat', 'around', 'consumpt', 'sanit', 'resist', 'directli', 'scarciti', 'servic', 'billion', 'facil']"
85,85,"What can the global response to COVID-19 teach us about our response to climate change?
","The COVID-19 pandemic is a Public Health Emergency of International Concern (PHEIC), which has claimed lives, and severely disrupted communities. Climate change is a gradually increasing stress that may be the defining public health threat of the 21st century. Nonetheless, common lessons can be drawn:
Ensuring universal health coverage (UHC), through well-resourced, equitable health systems, is essential to protect the public from both short and long-term health threats.
Guaranteeing global health security requires an all-hazards approach to preparedness, from infectious disease outbreaks, to extreme weather events, to climate change.  
Ensuring access to the environmental determinants of health, such as clean air, water and sanitation, safe and nutritious food, is an essential protection against all health risks. WHO estimates that avoidable environmental risks cause about a quarter of the global health burden.
Early action saves lives. Delay in responding to clear evidence of threats, whether from pandemics, or from climate change, increases human and socioeconomic costs.
Inequality is a major barrier in ensuring health and wellbeing, especially for the most vulnerable in society. Social and economic inequality manifests in unequal health risks. When faced with public health threats of a global scale, such as COVID-19 or climate change, we are only as strong as our weakest health system.
","['essenti', 'chang', 'live', 'nonetheless', 'inequ', 'gradual', 'global', 'hazard', 'drawn', 'socioeconom', 'nutriti', 'weakest', 'quarter', 'risk', 'claim', 'ensur', 'centuri', 'weather', 'threat', 'public', 'health', 'lesson', 'climat', 'environment', 'pheic', 'uhc', 'system', 'unequ', 'barrier', 'respons']"
86,86,"What is contact tracing?
","Contact tracing is the process of identifying, assessing, and managing people who have been exposed to someone who has been infected with the COVID-19 virus. Contact tracing and quarantine of contacts identified through contact tracing interrupt transmission between people and are essential public health tools for controlling the virus. Contact tracing can also help people who are at a higher risk of developing severe disease know earlier that they have been exposed so that they can  get medical care quicker if they go on to develop symptoms. 
","['essenti', 'ass', 'diseas', 'trace', 'help', 'quicker', 'develop', 'care', 'symptom', 'transmiss', 'sever', 'interrupt', 'peopl', 'tool', 'expo', 'medic', 'get', 'public', 'manag', 'identifi', 'go', 'know', 'contact', 'earlier', 'viru', 'quarantin', 'higher', 'process', 'control', 'someon']"
87,87,"Can contact tracing help in controlling spread of the virus?
","Yes. Contact tracing is an essential public health tool for controlling infectious disease outbreaks, such as those caused by the COVID-19 virus. Contact tracing can break the chains of transmission through the rapid identification, isolation and clinical care of cases, and providing supported quarantine of contacts, meaning that virus transmission can be stopped. 
","['infecti', 'support', 'essenti', 'diseas', 'trace', 'help', 'clinic', 'outbreak', 'identif', 'caus', 'case', 'care', 'transmiss', 'spread', 'chain', 'tool', 'mean', 'isol', 'rapid', 'public', 'health', 'covid', 'ye', 'contact', 'viru', 'break', 'control', 'provid', 'quarantin', 'stop']"
88,88,Does contact tracing still work against new variants of the COVID-19 virus ?,"Yes, the principles of contact tracing remain the same for newly identified variants of the COVID-19 virus. While some of the variants of the virus are more transmissible, thorough and timely contact tracing and supported quarantine of contacts is even more important to control the spread of the virus.
","['support', 'even', 'work', 'aadhaar', 'trace', 'variant', 'principl', 'remain', 'still', 'transmiss', 'spread', 'abattoir', 'aarogya', 'abhishek', 'import', 'abid', 'newli', 'time', 'thorough', 'identifi', 'covid', 'abdomin', 'ye', 'contact', 'abil', 'abl', 'viru', 'quarantin', 'control', 'new']"
89,89,How do I know if I’m a contact? What should I do if I am?,"If you think you may be a contact of someone who has recently been infected, you should be contacted by health authorities to determine if you meet the contact definition. You may also be informed directly by someone you were in contact with who later tested positive. If you have downloaded a COVID-19 proximity tracing application, you may also get notified through your mobile phone.       
If you are identified as a contact, you should undertake quarantine, which means that you separate yourself from others in your household, stay there and monitor your health for any signs of illness. Some countries have set up dedicated facilities to enable contacts to complete quarantine outside their household. Contact your local health authorities to find out how you can safely quarantine.
WHO recommends that you stay in quarantine for 14 days after you were last in contact with the person infected with the COVID-19 virus, but the duration of quarantine may vary by country. Check with your local or national health authority.  
","['trace', 'think', 'author', 'countri', 'may', 'vari', 'undertak', 'applic', 'stay', 'durat', 'notifi', 'enabl', 'also', 'proxim', 'download', 'dedic', 'meet', 'health', 'local', 'later', 'outsid', 'contact', 'definit', 'phone', 'household', 'separ', 'mobil', 'directli', 'quarantin', 'someon']"
90,90,"How is digital proximity tracing data stored and protected?
","The data storage for tracing apps can either be stored and processed on a central server managed by the national public health authority, or stored and processed on the users’ phones. There is a consensus by several data protection authorities that storing data on users’ phones enhances privacy, since users have greater control over the amount of information that they share with health authorities. The collection and use of such data by health authorities can therefore be limited to what is strictly necessary for the operation of a digital tracing system.
Whichever approach is selected, governments and third parties should ensure digital tracing systems follow WHO guidance on ethical considerations on the use of digital proximity tracing for COVID-19 contact tracing. Protecting the personal data and privacy of individuals participating in digital tracing is critical to ensure the protection of human rights and civil liberties as well as the establishment of public trust. 
","['trace', 'author', 'select', 'app', 'central', 'privaci', 'greater', 'parti', 'protect', 'whichev', 'user', 'ensur', 'server', 'strictli', 'proxim', 'civil', 'liberti', 'consensu', 'public', 'health', 'ethic', 'oper', 'data', 'phone', 'digit', 'system', 'store', 'process', 'storag', 'third']"
91,91,"What is quarantine? And how is it different from isolation?
","Quarantine is the separation of contacts from others after exposure to a probable or confirmed COVID-19 case – you may or may not be infected.
Isolation is the separation of people who are known to be infected with the COVID-19 virus from others who are not infected.  
Both quarantine and isolation help to stop the spread of the virus.
","['aadhaar', 'abroad', 'help', 'case', 'probabl', 'spread', 'peopl', 'may', 'known', 'aarogya', 'abattoir', 'abhishek', 'abnorm', 'abid', 'exposur', 'abridg', 'isol', 'confirm', 'covid', 'abdomin', 'contact', 'abil', 'differ', 'separ', 'viru', 'abl', 'infect', 'quarantin', 'stop', 'abort']"
92,92,"How do I manage quarantine and how do I take care of myself during quarantine?
","WHO recommends supported quarantine for 14 days from the last contact with a confirmed case to minimize risk of infecting others. You should remain separated from others in the household for the duration of quarantine. If you cannot be in a separate room, stay at least one meter away from others, the farther the better. Make sure you have enough food and water, and a way to communicate with others. The quarantine space should be well ventilated. You should minimize your contact with others. If you do have someone visit you during quarantine, you should both wear medical masks, keep windows open if possible and clean your hands before and after being together. Ideally, you should have only one visitor provide food and supplies during the quarantine period and this should be someone at low risk of developing severe COVID-19.
Quarantine may cause worry or anxiety, and this is normal. Thiscan also be an opportunity to take time to care for yourself. Consider reconnecting with loved ones via telephone or phone apps, watch movies or read books, exercise indoors, make crafts, or catch up on things you haven’t had time for.  To help you get groceries, medicine and other necessities, ask family and friends or use delivery services.
","['via', 'thiscan', 'movi', 'farther', 'necess', 'reconnect', 'opportun', 'app', 'anxieti', 'take', 'care', 'minim', 'someon', 'book', 'craft', 'telephon', 'durat', 'love', 'groceri', 'make', 'time', 'ideal', 'contact', 'watch', 'one', 'read', 'separ', 'food', 'quarantin', 'visitor']"
93,93,"What can I do as an individual to support contact tracing measures in my community?
","Everyone has a part to play to bring COVID-19 under control, and contact tracing begins with informed, engaged and enabled communities. Understand the local public health and social measures and collaborate with health authorities for case and contact investigation. Agree to monitoring, report signs or symptoms of COVID-19 promptly, and be prepared to quarantine or go into isolation if you become a confirmed case of COVID-19.       
In addition, you can, while respecting physical distance and all other protective measures, provide support to relatives or friends who have to be isolated or undertake quarantine. Check in on them by phone or offer to bring supplies to their house, if needed. Transmission of the COVID-19 virus can only be stopped if we all play our role to protect our family, friends and community.
","['support', 'begin', 'commun', 'trace', 'agre', 'collabor', 'measur', 'prepar', 'engag', 'case', 'friend', 'promptli', 'protect', 'hous', 'play', 'undertak', 'bring', 'isol', 'offer', 'enabl', 'respect', 'rel', 'check', 'covid', 'investig', 'contact', 'phone', 'everyon', 'role', 'quarantin']"
94,94,"If I’m traveling outside my country, do I need to provide accurate information to contact tracing personnel at the airport or at my destination? What if I’m concerned about how my private information is going to be used?","Yes, providing accurate information when requested is important to successful contact tracing activities. National authorities may ask incoming travelers to report their health status at the time of travel, possible exposures to confirmed or probable COVID-19 cases within the previous two weeks, and to provide their contact details so they can be located for health monitoring or international contact tracing purposes. Authorities may also require arriving passengers to download and use a national COVID-19 digital proximity tracing app on arrival.  Please consult national authorities/airline companies to verify details before you travel. 
","['request', 'trace', 'airport', 'travel', 'author', 'consult', 'purpos', 'app', 'inform', 'passeng', 'accur', 'probabl', 'incom', 'proxim', 'download', 'airlin', 'verifi', 'plea', 'detail', 'contact', 'destin', 'digit', 'locat', 'nation', 'personnel', 'compani', 'provid', 'arriv', 'privat', 'success']"
95,95,"How does contact tracing work?
","Contact tracing identifies, and monitors people who have been exposed to someone who has been infected with SARS-CoV-2, and involves several steps:
Defining contacts: Contact definitions may vary by country. WHO defines a contact as a person who has been exposed to someone else who has had recent probable or confirmed SARS-CoV-2 infection: 1. face-to-face contact with a probable or confirmed case within 1 meter and for at least 15 minutes; 2. direct physical contact with a probable or confirmed case; 3. direct care for a patient with probable or confirmed COVID-19 disease without the use of recommended PPE; or 4. other situations as indicated by local risk assessments. Exposure is considered any time between 2 days before to at least 13 days after the case started to show symptoms. For asymptomatic cases, a contact is anyone who has been exposed between 2 days before and 10 days after the date on which the sample that led to confirmation of infection was taken.
Identifying contacts: this is usually done through an interview with the person infected with SARS-CoV-2 to find out who they have been in contact with during the period of time described above. There are other ways to identify contacts depending on the setting, for example through membership or attendance lists of places the case visited during the period described above, or through public notices. Digital proximity tracing applications have also been developed to help identify and notify contacts through automated processes.
Informing contacts: each identified contact should be contacted to confirm whether they meet the definition of a contact. This may be done through health authorities and/or via digital tracing proximity applications. Cases may also be encouraged to inform their own contacts. Each person identified as a contact will be informed about the goal of contact tracing, the process (including how their personal data will be protected), how to undertake quarantine and for how long, and who to contact with any concerns or questions. Additional information should be provided on symptoms to monitor throughout the quarantine period, and what to do if a contact returns a positive test or becomes unwell.
Managing and monitoring contacts: contacts should be encouraged and supported during the  quarantine period. WHO recommends that the quarantine period ends 14 days after the contact was last exposed to the person who has been infected with SARS-CoV-2. However, the duration of the quarantine period may vary between countries.
Data processes and analysis: The information collected from each contact is stored in a secure database. These processes vary from country to country.
","['cov', 'period', 'sar', 'trace', 'countri', 'inform', 'case', 'probabl', 'monitor', 'done', 'may', 'vari', 'applic', 'person', 'expo', 'direct', 'day', 'proxim', 'confirm', 'identifi', 'contact', 'definit', 'encourag', 'describ', 'digit', 'face', 'defin', 'process', 'infect', 'quarantin']"
